"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleantext","date","popular"
"1","The ""white"" #ISA2015 will not stop me...I hope to arrive by tomorrow evening. :) see you all.",FALSE,1,NA,2015-02-16 23:45:42,FALSE,NA,"567469902894989313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","swatipash",0,FALSE,FALSE,NA,NA,"The  white   ISA will not stop me   I hope to arrive by tomorrow evening     see you all ",2015-02-16 17:45:42,1
"2","RT @PabloK: If you're seeking a decidedly less white view of IR at #ISA2015, here's a #RubySeries lists of alternatives: http://t.co/kPU8hU…",FALSE,0,NA,2015-02-16 23:42:17,FALSE,NA,"567469040667750401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FlorianKrampe",29,TRUE,FALSE,NA,NA,"   If you re seeking a decidedly less white view of IR at  ISA  here s a  RubySeries lists of alternatives  ",2015-02-16 17:42:17,29
"3","The Methods Cafe (TB02) is returning to #ISA2015 with more experts and more topics than ever! Full line-up at http://t.co/E2GaZlszJt #css",FALSE,1,NA,2015-02-16 23:15:02,FALSE,NA,"567462183622033409",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","caiwilkinson",1,FALSE,FALSE,NA,NA,"The Methods Cafe  TB  is returning to  ISA with more experts and more topics than ever  Full line up at ",2015-02-16 17:15:02,2
"4","RT @akawanja: Dallas. Almost nola. Thursday ""Explosive Affairs:Transnational Cooperation &amp; the Escalation of Violence"" on ""what resistance""…",FALSE,0,NA,2015-02-16 22:54:26,FALSE,NA,"567457001089687552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxlesch",1,TRUE,FALSE,NA,NA,"   Dallas  Almost nola  Thursday  Explosive Affairs Transnational Cooperation  the Escalation of Violence  on  what resistance ",2015-02-16 16:54:26,1
"5","Touch down in NOLA for #ISA2015",FALSE,0,NA,2015-02-16 22:54:03,FALSE,NA,"567456902666133504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tom_Gregory",0,FALSE,FALSE,NA,NA,"Touch down in NOLA for  ISA",2015-02-16 16:54:03,0
"6","RT @PabloK: If you're seeking a decidedly less white view of IR at #ISA2015, here's a #RubySeries lists of alternatives: http://t.co/kPU8hU…",FALSE,0,NA,2015-02-16 22:53:29,FALSE,NA,"567456760223784963",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","debthompsonphd",29,TRUE,FALSE,NA,NA,"   If you re seeking a decidedly less white view of IR at  ISA  here s a  RubySeries lists of alternatives  ",2015-02-16 16:53:29,29
"7","Dallas. Almost nola. Thursday ""Explosive Affairs:Transnational Cooperation &amp; the Escalation of Violence"" on ""what resistance"" panel #ISA2015",FALSE,2,NA,2015-02-16 22:49:31,FALSE,NA,"567455763103117312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akawanja",1,FALSE,FALSE,NA,NA,"Dallas  Almost nola  Thursday  Explosive Affairs Transnational Cooperation  the Escalation of Violence  on  what resistance  panel  ISA",2015-02-16 16:49:31,3
"8","RT @DJGalbreath: At #ISA2015 will be talking about how comparative national defence is being shaped by variable cash and combat ops.",FALSE,0,NA,2015-02-16 22:37:34,FALSE,NA,"567452757553324032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OSBalancer",1,TRUE,FALSE,NA,NA,"   At  ISA will be talking about how comparative national defence is being shaped by variable cash and combat ops ",2015-02-16 16:37:34,1
"9","And so begins the epic voyage to #ISA2015. Super excited about panels and meetings and N'Awlins, oh my! See you on the other side, tweeps.",FALSE,2,NA,2015-02-16 22:37:07,FALSE,NA,"567452642557718528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","drljshepherd",0,FALSE,FALSE,NA,NA,"And so begins the epic voyage to  ISA  Super excited about panels and meetings and N Awlins  oh my  See you on the other side  tweeps ",2015-02-16 16:37:07,2
"10","At #ISA2015 will be talking about how comparative national defence is being shaped by variable cash and combat ops.",FALSE,2,NA,2015-02-16 22:30:53,FALSE,NA,"567451076220440576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DJGalbreath",1,FALSE,FALSE,NA,NA,"At  ISA will be talking about how comparative national defence is being shaped by variable cash and combat ops ",2015-02-16 16:30:53,3
